web-scraper-order,web-scraper-start-url,house-link,house-link-href,house-price,house-addr,house-availability,house-size,house-rooms,house-desc,house-baths
1587215407-686,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=11,,,,,,,,"El Proyecto “viamonti” es un nuevo proyecto que se encuentra en preventa, que contará con 9 pisos, azotea y 3 niveles de sótanos para estacionamiento cuenta con solo 36 exclusivos departamentos desde 67. 20 m2 hasta 146. 25 m2 ubicado en una de las mejoras zonas del distrito de Jesús María, (Jr. Daniel Olaechea 273, muy cerca de la universidad del Pacifico, a pocos metros del Centro Comercial Real Plaza Salaverry, para disfrutar la experiencia única de vivir cerca de todo. El edificio contará con ascensor de última generación además de modernos acabados de primera calidad, departamentos totalmente iluminados y habilitados con punto de Gas. Alt, Universidad del Pacifico",
1587215480-1510,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=5,,,,,,"91 a 118 
							
							m² techados",,,
1587214931-2,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=50,,,,,,,,,1 Baño
1587215419-838,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=10,,,,,,,,,3 Baños
1587215504-1831,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=3,,,,,,,,"Violet es un edificio de solo 29 departamentos, ubicado a media cuadra del Cruce de Choquehuanca y la Av. Arequipa. Imagina tu vida a 2 cuadras de El Olivar, y al mismo tiempo a un paso del centro financiero, Camino Real, y de la Avenida Conquistadores y muchos de los más prestigiosos restaurantes de la Ciudad. Violet, rodéate de lo bueno. Atendemos en sala de ventas en Av. Arequipa 3383, San Isidro, todos los días de 10. 00 am a 7. 00pm. Encuéntranos en Waze como ""Proyecto Violet"". Av. Arequipa 3383",
1587215468-1406,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=6,,,,,,,,"Hometown es un condominio que busca recuperar el estilo de vida del vecindario, pero con un sello de frescura, originalidad e innovación. Está ubicado a solo una cuadra del Pentagonito en la zona más segura y tranquila de San Borja, específicamente en la cuadra 4 de Calle Durero, casi en esquina con la Av. San Borja Norte. Es un condominio cerrado con flats desde 105 m2 hasta 116 m2, flats con jardín hasta 164 m2 y dúplex desde 63 m2 hasta 233 m2. Las áreas verdes son el signo distintivo de Hometown, sus parques y alamedas han sido diseñados bajo un enfoque paisajista. Cuenta con área comunes como el Salón Gourmet con horno de barro y bbq semi profesional, un espacio co-working para el emprendedor que llevamos dentro, piscina lounge, gimnasio funcional, sum y para los más pequeños una área de niños y una sala Funtown que cuenta con un miniteatro y una zona de lectura.",
1587215468-1334,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=6,,,,,Enero 2021,,,,
1587215492-1693,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=4,,,,,,,,"Si lo que buscas es confort y tener todo sin salir de tu casa, Abedul es el lugar que estabas buscando, dado que tiene más de 600 m de áreas sociales para disfrutar de grandes momentos con tu familia y amigos. Da un salto de calidad de vida y empieza a construir los mejores recuerdos en un nuevo hogar.",
1587215492-1668,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=4,,,,,,,2 a 3 dormitorios,,
1587215443-1108,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=8,,,,,,,,"¡Aprovecha los precios de pre-venta. ¡Incluye 1 estacionamiento y equipamiento de cocina de regalo! En la zona más céntrica de Miraflores, en la esquina de la Av. La Paz y Calle Bolívar, se encuentra ubicado La Paz 742, a pocos pasos. del parque Kennedy.",
1587215039-46,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=41,,,,,,,,,2 Baños
1587215419-738,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=10,,,,"Jr. General Cordova 1762, 
								 Lobaton, Lince",,,,,
1587215492-1644,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=4,,,,,,"100 a 254 
							
							m² techados",,,
1587215443-1039,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=8,,,,"Calle Miguel Gerónimo Seminario 190  - San Isidro, 
								 San Isidro, Lima",,,,,
1587215407-653,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=11,,,,,,,1 a 2 dormitorios,,
1587215529-2060,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=1,,,,,Noviembre 2020,,,,
1587215269-142,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=22,,,,,,,,,3 Baños
1587215492-1646,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=4,,,,,,"90 a 241 
							
							m² techados",,,
